State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
17,151,Pope,Illinois,IL,61,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,510,668,123,47.5,23.7,1,2
17,153,Pulaski,Illinois,IL,76,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1210,1168,242,0,0,1,2
17,155,Putnam,Illinois,IL,57,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,603,987,111,16.4,32.8,2,2
17,157,Randolph,Illinois,IL,30,24.9,15.5,34.2,-1111.1,-1111.1,-1111.1,18.2,10,26.3,-1111.1,-1111.1,-1111.1,17.1,8.6,25.7,4.1,0,8.4,3091,5064,811,60.4,39.2,2,2
17,159,Richland,Illinois,IL,40,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.8,0.4,17.3,1751,2916,419,101.3,57,2,2
17,161,Rock Island,Illinois,IL,16,24.3,19.7,28.9,76.1,67.4,84.8,26.1,21.4,30.8,27.9,20.5,35.4,25.5,20.6,30.5,8.5,5.6,11.4,18735,22237,3096,59.5,52.8,1,2
17,163,St. Clair,Illinois,IL,5,30.9,26.7,35.2,81,75.8,86.2,29.7,25.6,33.7,31.6,26.4,36.8,22.7,18.9,26.5,9.2,6.8,11.7,31928,31876,6248,71.5,54.2,1,2
17,165,Saline,Illinois,IL,50,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8,1.4,14.6,3358,4653,959,57.5,38.4,1,2
17,167,Sangamon,Illinois,IL,11,25.5,21.2,29.8,73.4,66.6,80.2,24,20,28,27.9,22.7,33.1,19.8,16.2,23.3,11,8.2,13.8,19820,25116,4282,154.6,53.9,1,2
17,169,Schuyler,Illinois,IL,59,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,643,1222,121,56.6,28.3,2,2
17,171,Scott,Illinois,IL,56,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,460,848,98,37,18.5,2,2
17,173,Shelby,Illinois,IL,55,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4.3,0.3,8.2,2135,3838,447,31.4,13.4,2,1
17,175,Stark,Illinois,IL,54,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,573,1162,92,16.2,16.2,2,2
17,177,Stephenson,Illinois,IL,27,18.3,11.8,24.9,82.5,74.1,90.9,22,14.9,29,24.9,15,34.7,12.7,7.4,18,8.7,4.4,13.1,4943,8388,1007,50,41.7,1,2
17,179,Tazewell,Illinois,IL,12,23.4,18.5,28.3,82.3,76.7,87.9,21.3,16.7,26,23.6,17.6,29.6,28.2,22.9,33.5,6.1,3.8,8.4,9496,19664,2235,50,37.7,2,2
17,181,Union,Illinois,IL,64,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10,1.2,18.7,2337,2887,690,87.9,27.5,1,2
17,183,Vermilion,Illinois,IL,24,31.2,24.4,37.9,84.3,76.5,92,31.8,24.7,38.9,29.2,20,38.4,26,19.4,32.5,9,4.9,13,10340,13075,2698,61.9,36.4,1,2
17,185,Wabash,Illinois,IL,40,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1228,2032,271,23.9,23.9,2,2
17,187,Warren,Illinois,IL,60,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.7,2,11.4,2080,2893,372,51.3,34.2,2,2
17,189,Washington,Illinois,IL,57,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.4,1.7,19.1,1242,2344,254,20.1,20.1,2,1
17,191,Wayne,Illinois,IL,59,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.5,3.9,23.1,7.1,1,13.1,1696,3051,376,41.7,17.9,1,2
17,193,White,Illinois,IL,64,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.3,1.3,13.2,1539,3253,463,39.3,32.7,2,1
17,195,Whiteside,Illinois,IL,18,22.6,15.9,29.3,84.6,75.6,93.5,23.4,16.3,30.5,-1111.1,-1111.1,-1111.1,27.2,18.4,36.1,8.3,3.9,12.6,6934,9920,1524,53.5,36.8,1,2
17,197,Will,Illinois,IL,10,23.9,20.9,26.9,83.1,79.3,86.9,23.6,20.8,26.4,22,18.2,25.7,23.2,20.3,26.2,5.2,3.8,6.7,57127,43482,7035,42.9,26.3,1,2
17,199,Williamson,Illinois,IL,24,25,18.1,31.8,-1111.1,-1111.1,-1111.1,24.5,17.3,31.6,25.5,16.5,34.5,20.9,14.1,27.8,6.9,3.5,10.3,7691,9458,1768,77,31.4,1,2
17,201,Winnebago,Illinois,IL,10,25.3,21.9,28.6,76.3,71,81.7,25.8,22.3,29.2,27.5,22.7,32.3,26.2,22.6,29.8,9.3,7.2,11.5,32344,35312,6282,98.4,54.7,1,2
17,203,Woodford,Illinois,IL,47,12.8,6.7,18.9,-1111.1,-1111.1,-1111.1,27.8,18,37.7,20.1,10.2,30,-1111.1,-1111.1,-1111.1,7.9,3.3,12.5,2279,4577,362,32,18.7,2,1
